fast runs
PF geneva
Daily PF:  2025-01-01 → 2025-12-31  (364 days,  20 perturbed members)
Depth weights: {0: 0.38, -1.0: 0.88, -2.0: 1.5, -4.0: 2.0, -6.0: 2.0, -8.0: 2.0, -10.0: 2.0, -12.0: 2.0, -14.0: 2.0, -16.0: 2.0, -18.0: 2.5, -21.0: 3.0, -24.0: 3.0, -27.0: 3.0, -30.0: 4.0, -35.0: 5.0, -40.0: 5.0, -45.0: 5.0, -50.0: 2.5}

Started 21 persistent containers.

  2025-01-01  best=ensemble01  RMSE=0.6819 °C  obs_raw=216  matched=198  [ok]  [docker=16.9s  accum=0.0s  mean=1.1s  score=1.3s  total=19.3s]
  2025-01-02  best=ensemble14  RMSE=0.6764 °C  obs_raw=216  matched=198  [ok]  [docker=17.8s  accum=0.0s  mean=2.2s  score=1.2s  total=21.1s]
  2025-01-03  best=ensemble18  RMSE=0.5922 °C  obs_raw=216  matched=198  [ok]  [docker=20.3s  accum=0.0s  mean=2.1s  score=1.1s  total=23.6s]
  2025-01-04  best=ensemble19  RMSE=0.5716 °C  obs_raw=216  matched=198  [ok]  [docker=17.8s  accum=0.0s  mean=2.5s  score=1.1s  total=21.3s]
  2025-01-05  best=ensemble06  RMSE=0.5439 °C  obs_raw=216  matched=198  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-01-06  best=ensemble15  RMSE=0.5302 °C  obs_raw=216  matched=198  [ok]  [docker=18.3s  accum=0.0s  mean=2.4s  score=1.1s  total=21.7s]
  2025-01-07  best=ensemble14  RMSE=0.4510 °C  obs_raw=216  matched=198  [ok]  [docker=18.3s  accum=0.0s  mean=2.2s  score=1.1s  total=21.6s]
  2025-01-08  best=ensemble16  RMSE=0.3712 °C  obs_raw=216  matched=198  [ok]  [docker=17.7s  accum=0.0s  mean=2.4s  score=1.1s  total=21.2s]
  2025-01-09  best=ensemble17  RMSE=0.4016 °C  obs_raw=216  matched=198  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.1s]
  2025-01-10  best=ensemble03  RMSE=0.3872 °C  obs_raw=216  matched=198  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-01-11  best=ensemble03  RMSE=0.3588 °C  obs_raw=216  matched=198  [ok]  [docker=17.5s  accum=0.0s  mean=2.3s  score=1.1s  total=20.9s]
  2025-01-12  best=ensemble03  RMSE=0.3110 °C  obs_raw=216  matched=198  [ok]  [docker=17.6s  accum=0.0s  mean=2.5s  score=1.1s  total=21.1s]
  2025-01-13  best=ensemble05  RMSE=0.2435 °C  obs_raw=216  matched=198  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-01-14  best=ensemble09  RMSE=0.2337 °C  obs_raw=216  matched=198  [ok]  [docker=18.2s  accum=0.0s  mean=2.6s  score=1.1s  total=21.9s]
  2025-01-15  best=ensemble03  RMSE=0.2103 °C  obs_raw=228  matched=210  [ok]  [docker=20.3s  accum=0.0s  mean=3.0s  score=1.4s  total=24.7s]
  2025-01-16  best=ensemble20  RMSE=0.2065 °C  obs_raw=240  matched=220  [ok]  [docker=18.4s  accum=0.0s  mean=2.3s  score=1.1s  total=21.8s]
  2025-01-17  best=ensemble16  RMSE=0.2142 °C  obs_raw=240  matched=220  [ok]  [docker=17.7s  accum=0.0s  mean=2.4s  score=1.1s  total=21.2s]
  2025-01-18  best=ensemble09  RMSE=0.1953 °C  obs_raw=240  matched=220  [ok]  [docker=17.8s  accum=0.0s  mean=2.2s  score=1.1s  total=21.1s]
  2025-01-19  best=ensemble05  RMSE=0.2139 °C  obs_raw=240  matched=220  [ok]  [docker=17.7s  accum=0.0s  mean=2.4s  score=1.1s  total=21.2s]
  2025-01-20  best=ensemble18  RMSE=0.2157 °C  obs_raw=240  matched=220  [ok]  [docker=17.6s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-01-21  best=ensemble06  RMSE=0.2046 °C  obs_raw=240  matched=220  [ok]  [docker=18.4s  accum=0.0s  mean=2.3s  score=1.1s  total=21.9s]
  2025-01-22  best=ensemble13  RMSE=0.1959 °C  obs_raw=240  matched=220  [ok]  [docker=17.7s  accum=0.0s  mean=2.3s  score=1.1s  total=21.1s]
  2025-01-23  best=ensemble12  RMSE=0.1904 °C  obs_raw=240  matched=220  [ok]  [docker=17.6s  accum=0.0s  mean=2.5s  score=1.2s  total=21.2s]
  2025-01-24  best=ensemble11  RMSE=0.1740 °C  obs_raw=240  matched=220  [ok]  [docker=17.6s  accum=0.0s  mean=2.0s  score=1.1s  total=20.8s]
  2025-01-25  best=ensemble09  RMSE=0.1849 °C  obs_raw=240  matched=220  [ok]  [docker=17.8s  accum=0.0s  mean=2.2s  score=1.1s  total=21.1s]
  2025-01-26  best=ensemble03  RMSE=0.1925 °C  obs_raw=240  matched=220  [ok]  [docker=17.6s  accum=0.0s  mean=2.5s  score=1.1s  total=21.2s]
  2025-01-27  best=ensemble17  RMSE=0.1639 °C  obs_raw=240  matched=220  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-01-28  best=ensemble14  RMSE=0.1484 °C  obs_raw=227  matched=207  [ok]  [docker=17.6s  accum=0.0s  mean=2.6s  score=1.1s  total=21.3s]
  2025-01-29  best=ensemble15  RMSE=0.1002 °C  obs_raw=216  matched=198  [ok]  [docker=18.0s  accum=0.0s  mean=2.2s  score=1.7s  total=21.9s]
  2025-01-30  best=ensemble06  RMSE=0.0570 °C  obs_raw=216  matched=198  [ok]  [docker=20.1s  accum=0.0s  mean=2.1s  score=1.1s  total=23.4s]
